learnRate,probImit,probCo,probMut,forwardLook,hidNodes,gaRate,numEpoch
0.75,0.21,0.1,0.06,7,3,5,39
0.86,0.15,0.35,0.03,6,2,19,42
0.21,0.12,0.15,0.07,10,2,13,25
0.52,0.06,0.18,0.09,3,3,16,46
0.41,0.09,0.27,0.04,9,4,23,36
0.3,0.19,0.31,0.06,2,3,26,28
0.63,0.04,0.23,0.02,4,4,9,31
